층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
2층,C블록,4,8,2층 C블록4열 8,-72,2624,760,2층 C블록4열 5
2층,C블록,4,9,2층 C블록4열 9,-119,2623,760,2층 C블록4열 4
2층,C블록,4,10,2층 C블록4열 10,-167,2622,760,2층 C블록4열 3
2층,C블록,4,11,2층 C블록4열 11,-215,2621,760,2층 C블록4열 2
2층,C블록,4,12,2층 C블록4열 12,-262,2620,760,2층 C블록4열 1
2층,D블록,4,1,2층 D블록4열 1,-412,2615,760,2층 B블록4열 11
2층,D블록,4,2,2층 D블록4열 2,-470,2612,760,2층 B블록4열 10
2층,D블록,4,3,2층 D블록4열 3,-527,2608,760,2층 B블록4열 9
2층,D블록,4,4,2층 D블록4열 4,-584,2605,760,2층 B블록4열 8
2층,D블록,4,5,2층 D블록4열 5,-641,2601,760,2층 B블록4열 7
2층,D블록,4,6,2층 D블록4열 6,-698,2596,760,2층 B블록4열 6
2층,D블록,4,7,2층 D블록4열 7,-755,2591,760,2층 B블록4열 5
2층,D블록,1,8,2층 D블록1열 8,-787,2286,633,2층 B블록1열 2
2층,D블록,1,9,2층 D블록1열 9,-842,2281,633,2층 B블록1열 1
2층,D블록,4,10,2층 D블록4열 10,-927,2575,760,2층 B블록4열 2
2층,D블록,4,11,2층 D블록4열 11,-984,2569,760,2층 B블록4열 1
2층,E블록,4,1,2층 E블록4열 1,-1145,2485,760,2층 A블록4열 19
2층,E블록,4,2,2층 E블록4열 2,-1183,2446,760,2층 A블록4열 18
2층,E블록,4,3,2층 E블록4열 3,-1220,2406,760,2층 A블록4열 17
2층,E블록,4,4,2층 E블록4열 4,-1258,2366,760,2층 A블록4열 16
2층,E블록,4,5,2층 E블록4열 5,-1296,2327,760,2층 A블록4열 15
2층,E블록,4,6,2층 E블록4열 6,-1333,2287,760,2층 A블록4열 14
2층,E블록,4,7,2층 E블록4열 7,-1371,2247,760,2층 A블록4열 13
2층,E블록,4,8,2층 E블록4열 8,-1409,2207,760,2층 A블록4열 12
2층,E블록,4,9,2층 E블록4열 9,-1446,2168,760,2층 A블록4열 11
2층,E블록,4,10,2층 E블록4열 10,-1484,2128,760,2층 A블록4열 10
2층,E블록,4,11,2층 E블록4열 11,-1521,2088,760,2층 A블록4열 9
2층,E블록,4,12,2층 E블록4열 12,-1559,2049,760,2층 A블록4열 8
2층,E블록,4,13,2층 E블록4열 13,-1597,2009,760,2층 A블록4열 7
2층,E블록,4,14,2층 E블록4열 14,-1634,1969,760,2층 A블록4열 6
2층,E블록,4,15,2층 E블록4열 15,-1672,1929,760,2층 A블록4열 5
2층,E블록,4,16,2층 E블록4열 16,-1709,1890,760,2층 A블록4열 4
2층,E블록,4,17,2층 E블록4열 17,-1747,1850,760,2층 A블록4열 3
2층,E블록,4,18,2층 E블록4열 18,-1785,1810,760,2층 A블록4열 2
2층,E블록,4,19,2층 E블록4열 19,-1822,1771,760,2층 A블록4열 1
2층,A블록,5,1,2층 A블록5열 1,1900,1834,802,2층 E블록5열 20
2층,A블록,5,2,2층 A블록5열 2,1862,1874,802,2층 E블록5열 19
2층,A블록,5,3,2층 A블록5열 3,1825,1913,802,2층 E블록5열 18
2층,A블록,5,4,2층 A블록5열 4,1788,1952,802,2층 E블록5열 17
2층,A블록,5,5,2층 A블록5열 5,1751,1992,802,2층 E블록5열 16
2층,A블록,5,6,2층 A블록5열 6,1714,2031,802,2층 E블록5열 15
2층,A블록,5,7,2층 A블록5열 7,1676,2070,802,2층 E블록5열 14
2층,A블록,5,8,2층 A블록5열 8,1639,2109,802,2층 E블록5열 13
2층,A블록,5,9,2층 A블록5열 9,1602,2149,802,2층 E블록5열 12
2층,A블록,5,10,2층 A블록5열 10,1565,2188,802,2층 E블록5열 11
2층,A블록,5,11,2층 A블록5열 11,1528,2227,802,2층 E블록5열 10
2층,A블록,5,12,2층 A블록5열 12,1490,2266,802,2층 E블록5열 9
2층,A블록,5,13,2층 A블록5열 13,1453,2306,802,2층 E블록5열 8
2층,A블록,5,14,2층 A블록5열 14,1416,2345,802,2층 E블록5열 7
2층,A블록,5,15,2층 A블록5열 15,1379,2384,802,2층 E블록5열 6
2층,A블록,5,16,2층 A블록5열 16,1342,2424,802,2층 E블록5열 5
2층,A블록,5,17,2층 A블록5열 17,1304,2463,802,2층 E블록5열 4
2층,A블록,5,18,2층 A블록5열 18,1267,2502,802,2층 E블록5열 3
2층,A블록,5,19,2층 A블록5열 19,1230,2541,802,2층 E블록5열 2
2층,A블록,5,20,2층 A블록5열 20,1193,2581,802,2층 E블록5열 1
2층,B블록,5,3,2층 B블록5열 3,919,2676,802,2층 D블록5열 10
2층,B블록,5,4,2층 B블록5열 4,863,2681,802,2층 D블록5열 9
2층,B블록,5,5,2층 B블록5열 5,808,2686,802,2층 D블록5열 8
2층,B블록,5,6,2층 B블록5열 6,752,2692,802,2층 D블록5열 7
2층,B블록,5,7,2층 B블록5열 7,696,2697,802,2층 D블록5열 6
2층,B블록,5,8,2층 B블록5열 8,640,2701,802,2층 D블록5열 5
2층,B블록,5,9,2층 B블록5열 9,584,2705,802,2층 D블록5열 4
2층,D블록,2,8,2층 D블록2열 8,-782,2387,675,2층 B블록2열 3
2층,D블록,2,9,2층 D블록2열 9,-835,2382,675,2층 B블록2열 2
2층,B블록,5,10,2층 B블록5열 10,528,2709,802,2층 D블록5열 3
2층,B블록,5,11,2층 B블록5열 11,472,2712,802,2층 D블록5열 2
2층,B블록,5,12,2층 B블록5열 12,416,2715,802,2층 D블록5열 1
2층,C블록,5,1,2층 C블록5열 1,265,2720,802,2층 C블록5열 12
2층,C블록,5,2,2층 C블록5열 2,217,2721,802,2층 C블록5열 11
2층,C블록,5,3,2층 C블록5열 3,169,2722,802,2층 C블록5열 10
