층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각
1층,B블록,3,10,1층 B블록3열 10,491,915,-59,1층 D블록3열 1,1040.0898999605756,79.98699189673376,23.551776744251217
1층,C블록,3,1,1층 C블록3열 1,330,927,-59,1층 C블록3열 12,985.7535188879622,86.7122278350456,17.84598507106085
1층,C블록,3,2,1층 C블록3열 2,270,930,-59,1층 C블록3열 11,970.1963718753024,88.54452821039986,15.226880338510634
1층,C블록,3,3,1층 C블록3열 3,210,934,-59,1층 C블록3열 10,959.1334630800867,89.8747259780522,12.329543777972457
1층,C블록,3,4,1층 C블록3열 4,150,935,-59,1층 C블록3열 9,948.7918633715194,91.02152933970083,9.333145032780228
1층,C블록,3,5,1층 C블록3열 5,90,936,-59,1층 C블록3열 8,942.1661212334054,91.75671861779989,6.330876593939945
1층,C블록,3,6,1층 C블록3열 6,30,937,-59,1층 C블록3열 7,939.3348710656919,92.08246348278661,3.9211716154667435
1층,C블록,3,7,1층 C블록3열 7,-30,937,-59,1층 C블록3열 6,939.3348710656919,92.08246348278661,3.9211716154667435
1층,C블록,3,8,1층 C블록3열 8,-90,936,-59,1층 C블록3열 5,942.1661212334054,91.75671861779989,6.330876593939945
1층,C블록,3,9,1층 C블록3열 9,-150,935,-59,1층 C블록3열 4,948.7918633715194,91.02152933970083,9.333145032780228
1층,C블록,3,10,1층 C블록3열 10,-210,934,-59,1층 C블록3열 3,959.1334630800867,89.8747259780522,12.329543777972457
1층,C블록,3,11,1층 C블록3열 11,-270,930,-59,1층 C블록3열 2,970.1963718753024,88.54452821039986,15.226880338510634
1층,C블록,3,12,1층 C블록3열 12,-330,927,-59,1층 C블록3열 1,985.7535188879622,86.7122278350456,17.84598507106085
1층,D블록,3,1,1층 D블록3열 1,-491,915,-59,1층 B블록3열 10,1040.0898999605756,79.98699189673376,23.551776744251217
1층,D블록,3,2,1층 D블록3열 2,-544,910,-59,1층 B블록3열 9,1061.8460340369502,77.19397769936448,25.003068115667496
1층,D블록,3,3,1층 D블록3열 3,-597,905,-59,1층 B블록3열 8,1085.7785225357886,74.10988853802485,26.23855758718652
1층,D블록,3,4,1층 D블록3열 4,-650,898,-59,1층 B블록3열 7,1110.1283709553593,70.85760149416893,27.348354479753105
1층,D블록,3,5,1층 D블록3열 5,-703,891,-59,1층 B블록3열 6,1136.4730529141464,67.36764129855193,28.27020872987026
1층,D블록,3,6,1층 D블록3열 6,-756,883,-59,1층 B블록3열 5,1163.9183820182582,63.72277125112616,29.056013406372447
1층,D블록,3,7,1층 D블록3열 7,-809,876,-59,1층 B블록3열 4,1193.8752028583222,59.92212737208023,29.649394002710483
1층,D블록,3,8,1층 D블록3열 8,-862,867,-59,1층 B블록3열 3,1224.015522777387,56.094638767313995,30.169949806570465
1층,D블록,3,9,1층 D블록3열 9,-915,858,-59,1층 B블록3열 2,1255.7348446228607,52.254061517999226,30.561143173005437
1층,D블록,3,10,1층 D블록3열 10,-968,850,-59,1층 B블록3열 1,1289.5755115540928,48.46934647508971,30.807090829372505
1층,E블록,3,1,1층 E블록3열 1,-1125,819,-59,1층 A블록3열 9,1392.7910826825394,38.01878030643527,31.19293507745205
1층,E블록,3,2,1층 E블록3열 2,-1172,809,-59,1층 A블록3열 8,1425.3231212605792,35.1941410045543,31.19076294677282
1층,E블록,3,3,1층 E블록3열 3,-1222,798,-59,1층 A블록3열 7,1460.674159420916,32.36728652667333,31.140306009798728
1층,E블록,3,4,1층 E블록3열 4,-1269,786,-59,1층 A블록3열 6,1493.8667945971622,29.847681211526393,31.08199217310202
1층,E블록,3,5,1층 E블록3열 5,-1315,775,-59,1층 A블록3열 5,1527.52446788914,27.56649084702269,30.96651204359573
1층,E블록,3,6,1층 E블록3열 6,-1362,764,-59,1층 A블록3열 4,1562.760698251655,25.41081572258345,30.806963682120777
1층,E블록,3,7,1층 E블록3열 7,-1411,751,-59,1층 A블록3열 3,1599.5008596434077,23.296085150298392,30.63529273418019
1층,E블록,3,8,1층 E블록3열 8,-1457,738,-59,1층 A블록3열 2,1634.3114758209342,21.44296823022092,30.45790041164636
1층,E블록,3,9,1층 E블록3열 9,-1503,725,-59,1층 A블록3열 1,1669.7649535189078,19.7317249264346,30.253500035001334
1층,A블록,4,1,1층 A블록4열 1,1578,803,-42,1층 E블록4열 10,1771.0609814458676,19.70165060194783,28.360974439658072
1층,A블록,4,2,1층 A블록4열 2,1530,816,-42,1층 E블록4열 9,1734.5085759372882,21.26831334584007,28.53188004611125
1층,A블록,4,3,1층 A블록4열 3,1482,830,-42,1층 E블록4열 8,1699.1138867068328,22.976938206265505,28.659500922614505
1층,A블록,4,4,1층 A블록4열 4,1435,844,-42,1층 E블록4열 7,1665.3302975686236,24.775619444067452,28.748568844537964
1층,A블록,4,5,1층 A블록4열 5,1386,856,-42,1층 E블록4열 6,1629.5692682423783,26.723538235370356,28.853470886169095
1층,A블록,4,6,1층 A블록4열 6,1338,867,-42,1층 E블록4열 5,1594.8971753689955,28.749698214035345,28.935205315306575
1층,A블록,4,7,1층 A블록4열 7,1290,879,-42,1층 E블록4열 4,1561.5713240194955,30.92923484576977,28.957401577502576
