공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2019-12-08 17:00:00,0.112,0.124,21,255063408.94747907,4,0.7480564790117574,42926.15,0,80000,"[0.0, 1.0, 1.52, 2.14]","[0, 36307, 55010, 77801]","[447, 1002, 483, 573]","[0.1521, 0.0659, 0.1781, 0.1571]",0.0,1.0,1.52,2.14,
2019-12-25 20:00:00,0.022,0.032,3,147634620.9319342,4,0.8292658482108537,38884.23,0,70000,"[1.0, 15.65, 23.54, 32.65]","[2128, 33313, 50095, 69497]","[538, 664, 846, 457]","[0.0186, 0.0211, 0.0426, 0.0416]",1.0,15.65,23.54,32.65,
2019-12-29 14:00:00,0.168,0.203,6,98962373.96817203,4,0.7910727462797602,75658.68,0,120000,"[0.0, 1.0, 1.72, 2.25]","[0, 52444, 90330, 118114]","[262, 847, 712, 684]","[0.1069, 0.2527, 0.1728, 0.2091]",0.0,1.0,1.72,2.25,
2019-12-31 20:00:00,0.279,0.504,22,20327298.992779285,4,0.8498564944847459,43345.31,0,60000,"[1.0, 4.35, 6.99, 8.61]","[6940, 30212, 48479, 59761]","[281, 543, 907, 774]","[0.2705, 0.5764, 0.6218, 0.3992]",1.0,4.35,6.99,8.61,
2020-01-05 17:00:00,0.365,0.365,12,218125053.18863803,4,0.7901480869271273,108287.43,0,160000,"[0.0, 1.0, 2.02, 2.96]","[0, 53427, 108092, 158409]","[152, 483, 1009, 861]","[0.3355, 0.4037, 0.3954, 0.3124]",0.0,1.0,2.02,2.96,
2020-01-11 17:00:00,0.503,0.657,6,165315643.93817014,4,0.8177145973377147,96041.92,0,150000,"[0.0, 1.0, 1.66, 2.43]","[0, 61184, 101303, 148801]","[143, 866, 737, 759]","[0.4406, 0.6039, 0.6513, 0.7655]",0.0,1.0,1.66,2.43,
2020-02-11 19:30:00,0.089,0.803,12,691267068.1484607,4,0.6917253865187256,57506.99,0,120000,"[0.0, 1.0, 1.74, 2.77]","[0, 35578, 61816, 98564]","[435, 528, 727, 815]","[0.3264, 0.7235, 0.9752, 0.9558]",0.0,1.0,1.74,2.77,
2020-02-22 17:00:00,0.124,0.383,1,274548387.0967742,5,0.9866932801064539,67241.52,0,120000,"[1.0, 19.85, 39.69, 59.54, 79.38]","[1512, 30000, 60000, 90000, 120000]","[430, 380, 369, 829, 497]","[0.1256, 0.3684, 0.1463, 0.4994, 0.5996]",1.0,19.85,39.69,59.54,79.38
2020-05-05 20:00:00,0.03,0.142,13,58582002.90412021,3,0.7424706068248669,14223.55,0,30000,"[0.0, 1.0, 1.82]","[0, 12270, 22312]","[341, 1260, 904]","[0.0645, 0.0889, 0.2456]",0.0,1.0,1.82,,
2020-06-03 19:30:00,0.06,0.248,31,595702118.1889718,4,0.6182158686129506,43790.42,0,80000,"[1.0, 2.97, 4.56, 5.87]","[11024, 32747, 50298, 64738]","[205, 879, 924, 497]","[0.4585, 0.2082, 0.2045, 0.3139]",1.0,2.97,4.56,5.87,
